Generation,WOC,WOB,WMMd,WMMr,W_average
37,-0.06130476359497561,-0.4770638961187572,-0.9600189392197918,-0.061282400703220885,-0.06130383667062127
38,-0.0612961655532801,-0.47706870721706796,-0.9600191221828756,-0.06128151587690622,-0.06129556537553889
39,-0.061290535002832214,-0.4770718570141806,-0.9600192407126511,-0.061280930274288714,-0.06129014406464969
40,-0.06128684252283323,-0.4770739223741744,-0.9600193180576791,-0.06128054446451725,-0.06128658746257637
41,-0.061284421291747715,-0.47707527653456405,-0.9600193685841252,-0.06128029050801764,-0.061284254583069665
42,-0.06128283239463972,-0.47707616505555595,-0.9600194015680493,-0.061280123022291466,-0.06128272304711117
43,-0.061281792016502745,-0.47707674682094786,-0.9600194231635327,-0.06128001344927503,-0.06128172034204052
44,-0.061281109145265744,-0.4770771287043336,-0.9600194374212454,-0.06127994189269925,-0.06128106249167792
45,-0.061280660793850084,-0.4770773793463875,-0.9600194466739623,-0.06127989425353442,-0.06128063005923513
46,-0.06128036711304963,-0.47707754343464986,-0.9600194526310836,-0.06127986262700724,-0.06128034652532069
47,-0.06128017355933868,-0.4770776516541666,-0.9600194567166362,-0.06127984272139253,-0.06128016044285456
48,-0.06128004506063944,-0.4770777236147142,-0.9600194596540839,-0.06127983059373188,-0.061280037767835735
49,-0.061279960603356054,-0.4770777708435979,-0.9600194615220706,-0.06127982216141459,-0.061279956781521976
50,-0.06127990639519154,-0.4770778009153634,-0.9600194623853232,-0.0612798149733369,-0.06127990343994498
51,-0.06127987231017318,-0.4770778196077293,-0.9600194626371287,-0.061279809094405335,-0.061279868905039524
52,-0.06127984916959184,-0.47707783236827306,-0.9600194629709577,-0.06127980611210471,-0.06127984631709904
53,-0.061279830973847704,-0.47707784247943397,-0.9600194633974722,-0.06127980461034732,-0.06127982924205938
54,-0.061279816901578577,-0.4770778501674163,-0.9600194635626199,-0.06127980258914123,-0.06127981539472506
55,-0.06127980771952568,-0.4770778551745707,-0.9600194637230327,-0.061279801499581454,-0.06127980657658226
56,-0.06127980342768946,-0.47707785750089765,-0.9600194638787104,-0.06127980134166933,-0.061279802787631905
57,-0.06127979897043612,-0.47707785986898116,-0.9600194639707686,-0.06127980087650853,-0.06127979863412619
58,-0.06127979602877587,-0.4770778613735558,-0.9600194640187868,-0.0612798005160351,-0.06127979590949898
59,-0.061279795279217564,-0.4770778616503045,-0.9600194640306443,-0.061279800426028874,-0.06127979533550308
60,-0.06127979265291372,-0.47707786286317067,-0.9600194640376312,-0.061279799900648024,-0.06127979285994685
61,-0.0612797938008679,-0.4770778622088604,-0.9600194640592132,-0.06127980027814073,-0.06127979421663421
