Generation,nOC,nOB,nMMd,nMMr,total xMM
104.1002277904328,25.318254038657656,3.5289153608536314,3.671172587769561,31.877529294749074,35.548701882518635
105.10250569476082,25.519309074342004,3.5183429490659206,3.6954702842204523,32.14936848304127,35.84483876726173
106.10478359908885,25.71046177039935,3.508373469826775,3.7185185208860188,32.408572949165375,36.1270914700514
107.10706150341686,25.892213066963592,3.498971960108624,3.7403856128428563,32.65568241890928,36.39606803175214
108.10933940774488,26.06503744186504,3.490105161297318,3.761135856241314,32.891218852004144,36.65235470824546
109.1116173120729,26.22938371588619,3.4817415403933576,3.780829747211291,33.11568636718032,36.89651611439161
110.11389521640092,26.385676634412395,3.473851275102412,3.799524160209301,33.32957123002615,37.12909539023545
111.11617312072894,26.53431815437297,3.4664062210302657,3.8172725633601416,33.53334197537857,37.35061453873871
112.11845102505696,26.675688544394298,3.4593798672804814,3.8341252386681237,33.727449606450826,37.56157484511895
113.12072892938497,26.81014791662473,3.452747275399649,3.850129465707075,33.91232781694313,37.76245728265021
114.12300683371299,26.93803731732912,3.4464850004213545,3.865329772824186,34.08839352248923,37.95372329531341
115.12528473804102,27.059679818316564,3.440571044736129,3.8797680500052008,34.25604687456233,38.13581492456753
116.12756264236903,27.175381871709767,3.434984747998001,3.8934838113044683,34.415672134937964,38.309155946242434
117.12984054669704,27.285434035940362,3.4297067390977376,3.906514306454814,34.56763779133062,38.474152097785435
118.13211845102506,27.39011234161143,3.424718844282687,3.9188946913994362,34.71229715172041,38.63119184311985
119.13439635535309,27.489678292107396,3.4200040656789152,3.9306580967426203,34.84998829017095,38.78064638691357
120.1366742596811,27.584379690578423,3.4155464852394615,3.9418358407559086,34.981034842284515,38.92287068304042
121.13895216400911,27.674453318079074,3.4113311304062837,3.9524576023343294,35.10574703764194,39.05820463997627
122.14123006833714,27.7601239672369,3.407343982970543,3.9625513937523227,35.224421493016294,39.186972886768615
123.14350797266516,27.841604798949376,3.4035719094487376,3.9721437697809563,35.33734188928273,39.30948565906369
124.14578587699317,27.919098897200012,3.4000025872566684,3.981259869827436,35.44477946929772,39.426039339125154
125.1480637813212,27.99279936278757,3.3966244616460712,3.989923515989391,35.546993422330004,39.53691693831939
126.15034168564921,28.062889971467296,3.3934266907079165,3.9981572897477857,35.644231363951825,39.64238865369961
127.15261958997723,28.12954574672247,3.3903990888289877,4.0059826252807476,35.736729986231225,39.742712611511976
128.15489749430526,28.19293283622662,3.387532120785615,4.013419814409594,35.82471486399103,39.83813467840062
129.15717539863329,28.253209727314733,3.384816807168161,4.020488162098769,35.90840167572456,39.928889837823334
130.15945330296128,28.310527569239866,3.3822447025526055,4.02720599195638,35.98799638563515,40.01520237759153
131.1617312072893,28.365029716405612,3.3798079133931846,4.033590606099567,36.0636946517761,40.09728525787567
132.1640091116173,28.41685309621816,3.377498961798028,4.039658582676982,36.13568427580676,40.175342858483745
133.16628701594533,28.466127629672524,3.3753108431410492,4.0454256157003385,36.204143792970505,40.249569408670844
134.16856492027335,28.512977557995658,3.373236956651032,4.050906584148208,36.26924349420509,40.3201500783533
135.17084282460138,28.557520768851052,3.37127109212056,4.05611565990959,36.33114576358706,40.38726142349665
136.1731207289294,28.59986954840456,3.3694074084148506,4.0610662752740465,36.390005150743384,40.45107142601743
137.17539863325743,28.6401309718805,3.367640386867836,4.065771235263248,36.44596929631365,40.5117405315769
138.17767653758543,28.678406966475702,3.3659648297472913,4.070242697461251,36.499178801262595,40.56942149872385
139.17995444191345,28.71479449019954,3.364375839313975,4.074492215425345,36.5497675702544,40.62425978567975
140.18223234624145,28.749385993166772,3.3628687849582186,4.078530798094042,36.59786341051562,40.676394208609665
141.18451025056947,28.78226921770271,3.3614393149259487,4.082368875854243,36.64358767823404,40.725956554088285
