Generation,WOC,WOB,WMMd,WMMr,W_average
36,-0.37284898094730345,-0.24565656364156685,-0.40587836612625927,0.08943669679845723,-0.3682493615874497
37,-0.3599450672688408,-0.25230031455089696,-0.4126883804669885,0.09241246261540792,-0.35264587486676763
38,-0.33987816980149577,-0.2626362626812586,-0.4231413297621549,0.09627493825430378,-0.32852115649666114
39,-0.3097026065881069,-0.2781878975265192,-0.4385779097040431,0.10050725840390862,-0.2926791920700474
40,-0.26690194924571076,-0.30026251019438355,-0.4599661528653811,0.10367437075729691,-0.2430272091710381
41,-0.21162874977338053,-0.328794459414893,-0.48683183872253843,0.10353479778923358,-0.18152543318730374
42,-0.14909980226738628,-0.3611008576252684,-0.5163353509002836,0.09839737454308617,-0.11629677558055276
43,-0.0887437449805425,-0.3923109843845808,-0.5440081395599583,0.08892499094261685,-0.05848996137821676
44,-0.03909308554199564,-0.41800397095628883,-0.5662046286116477,0.07794981424912573,-0.015296091386448149
45,-0.00350548141779794,-0.4364303089979237,-0.5817898718111143,0.06826575059664663,0.01291872185314827
46,0.019449918948186484,-0.4483211920933234,-0.5916850290732102,0.06113415666900601,0.029741897787932774
47,0.03319049054536327,-0.45544104640321376,-0.5975392258817467,0.0564798586801325,0.03922279192217516
48,0.04100784715562944,-0.45949261382434625,-0.6008419910085698,0.05367607904767957,0.04438906224665948
49,0.04530727032836768,-0.46172125621786,-0.6026477413359063,0.052074100340267826,0.047147706621563854
50,0.04761955791634498,-0.4629199758089446,-0.603614902972347,0.051190233280143715,0.048602318035440496
51,0.04884491651638112,-0.46355526174457706,-0.6041259772079228,0.05071373529743517,0.04936317170139527
52,0.04948798501578233,-0.46388867491558683,-0.6043936655268701,0.05046077218518952,0.04975906134874485
53,0.049823304460780315,-0.46406253349282506,-0.6045330613699333,0.050327845143167904,0.04996433630728979
54,0.04999741231362553,-0.46415280738509557,-0.6046053738061732,0.05025846945513357,0.05007053104156667
55,0.05008756621266164,-0.46419955193094475,-0.6046427938623352,0.05022242216196249,0.05012538647778532
56,0.050134158967934495,-0.46422371013411423,-0.6046621245607555,0.05020374986751208,0.05015369185262452
57,0.05015821223666683,-0.46423618161620034,-0.604672100879149,0.05019409622104254,0.050168289656837034
58,0.050170618208922324,-0.464242613990643,-0.6046772451435116,0.050189111965998956,0.050175813466456526
59,0.05017701226346838,-0.46424592921021085,-0.6046798961150001,0.05018654184940785,0.05017968997457342
60,0.050180310300333764,-0.46424763917998146,-0.6046812631936951,0.050185215098744074,0.050181688387690215
61,0.05018200654979399,-0.46424851864618244,-0.6046819663251864,0.05018453305914705,0.05018271653809211
62,0.0501828796623931,-0.46424897133932713,-0.6046823281837657,0.05018418172676964,0.05018324551098137
63,0.050183328709930475,-0.46424920416889065,-0.6046825143097547,0.05018400115633859,0.05018351769615874
64,0.050183560250400605,-0.4642493242309462,-0.6046826103000441,0.0501839081166755,0.05018365812128067
65,0.05018368155071351,-0.4642493871416841,-0.6046826605532285,0.05018385911216261,0.05018373144850543
66,0.05018374378356505,-0.46424941942827885,-0.6046826863674453,0.05018383407113447,0.05018376918142901
67,0.050183774599621866,-0.4642494354272172,-0.6046826991649555,0.050183821666990314,0.0501837878768755
68,0.05018379059710609,-0.4642494437439197,-0.604682705811727,0.050183815157046174,0.050183797528158235
69,0.05018379898776737,-0.4642494481164516,-0.6046827093098825,0.05018381172272757,0.05018380258460313
70,0.050183803298165186,-0.46424945037284426,-0.604682711121307,0.050183809953041836,0.050183805190219755
71,0.050183805521091696,-0.46424945154625963,-0.6046827120669296,0.05018380902187092,0.05018380652868515
72,0.05018380667866418,-0.46424945216655245,-0.6046827125694288,0.05018380851491999,0.0501838072162504
73,0.05018380764993968,-0.46424945268945417,-0.6046827129938716,0.050183808084501846,0.05018380779141013
74,0.050183808437354926,-0.4642494531162139,-0.6046827133414,0.050183807730442176,0.050183808256407676
